District;2018;2019;2020;2021;2022;2023;2024
Engcobo LM: EC137;15,1;12,9;13,2;12,5;20,4;16,5;16
Enoch Mgijima LM: EC139;11,9;15,9;16,1;9,7;12,8;10,3;10,2
Ephraim Mogale LM: LIM471;5,9;8,7;5;3,8;9,3;9,6;9,6
eThekwini MM Sub: ETH_MM;12,7;10,1;7,1;7,7;9,3;8,9;6,6
eThekwini MM: ETH;12,7;10,1;7,1;7,7;9,3;8,9;6,6
Fetakgomo Tubatse LM: LIM476;8,5;7,5;6,4;5,3;4,4;4,1;7,4
Fezile Dabi DM: DC20;6,7;7,7;11,7;13,5;11,2;11,3;7,4
Frances Baard DM: DC9;14,4;16;18,2;18,3;15,3;11,4;8,6
Free State: FS;10,1;9,4;10,8;11,8;10,7;9,9;7,4
G Sibande DM: DC30;12,4;10,7;9,5;7,2;5,1;5,5;3,5
Gamagara LM: NC453;26,8;48,2;35;24;32;52;27,9
Garden Route DM: DC4;17,8;16,1;19,5;16,5;18,5;19,6;18
Ga-Segonyana LM: NC452;30;22,5;23;27,9;11,1;11,8;8,3
Gauteng: GP;10;8,2;6,8;5,7;6;6;5,2
George LM: WC044;18,2;16,4;20,5;18,4;19;19,7;18,3
Govan Mbeki LM: MP307;10,9;11,9;9;11,4;6,8;6,4;6,4
Gr Kokstad LM: KZN433;15,2;15;8,6;10,2;12,4;8,7;3,8
Great Kei LM: EC123;14,1;11,9;14;15,1;22,5;16,3;14,1
Greater Giyani LM: LIM331;5,1;5,1;2,9;5;2,5;1,1;1,2
Greater Letaba LM: LIM332;7,9;7,5;7,5;6,5;7,4;5,3;2,6
Greater Taung LM: NW394;14,6;18,6;14,4;10,1;9,3;9,9;7,5
Greater Tzaneen LM: LIM333;13,8;4,8;4,7;4,7;5,2;5,5;3,5
Hantam LM: NC065;7,7;9,3;11,2;8,5;6,3;12,9;13,1
Harry Gwala DM: DC43;8,3;8,1;6,2;7,5;8,2;6,9;5,3
Hessequa LM: WC042;14,7;8,1;6,5;6;11,3;9,7;11,7
iLembe DM: DC29;14,2;14;16,5;16,6;11,5;9;6,5
Impendle LM: KZN224;5,5;7,4;1,9;6,1;0;3,3;5,7
Ingquza Hill LM: EC153;9,3;7,1;8,8;5,3;5,6;4,9;4,7
Inkosi Langalibalele LM: KZN237;8,1;7;5,8;5;5,6;6,1;1,3
Intsika Yethu LM: EC135;8,4;8,8;10,2;16,1;16,5;14,3;8,9
Inxuba Yethemba LM: EC131;15;9,9;14,8;16,3;18;12,5;10,5
JB Marks LM: NW405;23,3;15,2;11,3;5;4,8;4,9;4,8
Joe Gqabi DM: DC14;12,2;14,2;12,1;9,2;11,4;10,8;9,4
Joe Morolong LM: NC451;11,3;16,2;15,6;15,2;11,9;12,5;8,5
Johannesburg A SD: JHB_A;4,5;5,7;4,4;5,5;6,6;5,6;5,6
Johannesburg B SD: JHB_B;5,1;9;9,5;4;2,8;4,9;4
Johannesburg C SD: JHB_C;8,3;8,8;8,4;8,2;12,7;11,5;12,7
Johannesburg D SD: JHB_D;10,1;8,6;6,8;4,8;8,1;5,6;4,5
Johannesburg E SD: JHB_E;5,9;6,4;3,8;2,7;3,1;5,6;4
Johannesburg F SD: JHB_F;10,3;12,7;7,2;9,3;11,6;8,1;8,5
Johannesburg G SD: JHB_G;11,5;11,7;13,4;11,2;10,6;9,7;8
Johannesburg MM: JHB;9;9,2;7,7;6,5;7,8;7;6
Johannesburg MM: JHB_MM;9;9,2;7,7;6,5;7,8;7;6
Jozini LM: KZN272;3,1;4,2;4,1;2,2;1,7;0,35;1,7
JT Gaetsewe DM: DC45;17,6;26,7;21,6;21,7;16,5;19,6;10,4
Kagisano-Molopo LM: NW397;9,2;9,2;12,9;8,7;6,8;4,1;4,4
Kai !Garib LM: NC082;15,6;14,7;17,5;19,6;20,1;20,4;13,6
Kamiesberg LM: NC064;8,6;5,7;11,9;7,6;13,5;7,2;10,4
Kannaland LM: WC041;14;13;12,9;21,3;18,5;24,2;13,4
Kareeberg LM: NC074;1,1;8,1;5,5;11,3;11,8;12,5;8,1
