geo_area;geo_prov;All DS TB patients in cohort;DS TB patients who completed treatment or were cured;DS TB patients who died;DS TB patients who were lost to follow up;Medical scheme coverage (ave);Number of TB tests conducted;Percentage of target tested for TB;Population density;TB DS client lost to follow up rate;TB DS death rate;TB MDR client death rate;TB/HIV co-infected client on ART rate (ETR.Net)
Ekurhuleni N1 SD: EKU_N1;GP;1246;609;36;30;;;;;2,4;2,9;0;94,77
Ekurhuleni N2 SD: EKU_N2;GP;1091;658;31;31;;;;;2,8;2,8;0;93,48
Ekurhuleni S1 SD: EKU_S1;GP;1651;625;30;49;;;;;3;1,8;0;97,8
Ekurhuleni S2 SD: EKU_S2;GP;985;783;35;80;;;;;8,1;3,6;0;96,73
Elundini LM: EC141;EC;660;408;27;59;;;;;8,9;4,1;20;98,68
Emadlangeni LM: KZN253;KZ;246;108;17;13;;;;;5,3;6,9;0;93,46
Emakhazeni LM: MP314;MP;171;85;12;5;;;;;2,9;7;;94,64
Emalahleni LM: EC136;EC;471;295;33;39;;;;;8,3;7;0;92,02
Emalahleni LM: MP312;MP;878;490;39;62;;;;;7,1;4,4;;89,42
Emfuleni LM: GT421;GP;2242;1235;196;110;;;;;4,9;8,7;16,7;97,01
Emthanjeni LM: NC073;NC;303;157;21;42;;;;;13,9;6,9;;91,92
Endumeni LM: KZN241;KZ;214;109;22;1;;;;;0,47;10,3;;91,07
Engcobo LM: EC137;EC;499;318;27;80;;;;;16;5,4;0;98,13
Enoch Mgijima LM: EC139;EC;863;610;47;88;;;;;10,2;5,4;0;97,51
Ephraim Mogale LM: LIM471;LP;311;158;32;30;;;;;9,6;10,3;;77,38
eThekwini MM Sub: ETH_MM;KZ;17653;10023;771;1158;;;;;6,6;4,4;2,1;95,03
eThekwini MM: ETH;KZ;17653;10023;771;1158;20,97;225105;73,748;1702,588;6,6;4,4;2,1;95,03
Fetakgomo Tubatse LM: LIM476;LP;666;393;37;49;;;;;7,4;5,6;0;73,21
Fezile Dabi DM: DC20;FS;1722;815;104;128;15,2;20463;92,078;26,102;7,4;6;0;90,3
Frances Baard DM: DC9;NC;2579;1403;114;222;15,7;32316;84,084;34,54;8,6;4,4;7,5;88,84
Free State: FS;FS;9007;4714;674;666;12,5;92971;60,921;23,4;7,4;7,5;1,7;84,87
G Sibande DM: DC30;MP;2579;1439;162;90;10,54;57316;174,229;42,651;3,5;6,3;0;93,77
Gamagara LM: NC453;NC;122;61;4;34;;;;;27,9;3,3;;100
Garden Route DM: DC4;WC;5479;2792;196;986;20,79;47371;69,393;28,929;18;3,6;3,6;87,96
Ga-Segonyana LM: NC452;NC;702;255;36;58;;;;;8,3;5,1;;54,85
