District;2024;DS TB patients who were lost to follow up;All DS TB patients in cohort
Umzimkhulu LM: KZN435;6,1;34;553
Umzimvubu LM: EC442;6,4;55;864
uMzinyathi DM: DC24;0,27;3;1103
Umzumbe LM: KZN213;2,7;15;553
uPhongolo LM: KZN262;0,62;3;485
uThukela DM: DC23;3,8;58;1513
Vhembe DM: DC34;1,6;34;2189
Victor Khanye LM: MP311;8,7;20;230
Walter Sisulu LM: EC145;13,2;66;501
Waterberg DM: DC36;2;29;1450
West Coast DM: DC1;15;589;3933
West Rand DM: DC48;3,2;75;2327
Western Cape: WC;14,7;6805;46318
Witzenberg LM: WC022;17,5;195;1117
Xhariep DM: DC16;8,4;50;596
ZF Mgcawu DM: DC8;9,3;170;1826
Zululand DM: DC26;0,92;24;2609
